side	eta	phi	depth	dphi	det	RBX	wedge	rm	BV/pix	card	QIE	rm_fib	fib_ch	pp col	pp row	pp coupler	pp LC	dodec	crate	uhtr	uhtr_fib	fedid	QIEid		i	cr	sl	tb	dcc	spigot	uhtr_fib	fib_ch	subdet	RM	rm_fib	fib_ch		i	cr	sl	tb	dcc	spigot	uhtr_fib	fib_ch	subdet	ieta	iphi	depth
1	16	64	1	1	HB	HBP17	17	2	19	1	3	3	2	3	2	HBP17_RM2A	3	6	34	11	5	1114	100651		4E281862	34	11	u	0	0	5	2	CRF	6	3	2		45651	34	11	u	0	0	5	2	HB	16	64	1
1	16	65	2	1	HB	HBP17	17	3	3	1	0	2	0	3	3	HBP17_RM3A	2	7	34	11	6	1114	100624		4E281C40	34	11	u	0	0	6	0	CRF	7	2	0		45662	34	11	u	0	0	6	0	HB	16	65	2
1	15	65	2	1	HB	HBP17	17	3	17	1	1	2	1	3	3	HBP17_RM3A	2	7	34	11	6	1114	100624		4E281C41	34	11	u	0	0	6	1	CRF	7	2	1		45662	34	11	u	0	0	6	1	HB	15	65	2
1	14	65	1	1	HB	HBP17	17	3	19	1	2	2	2	3	3	HBP17_RM3A	2	7	34	11	6	1114	100624		4E281C42	34	11	u	0	0	6	2	CRF	7	2	2		45661	34	11	u	0	0	6	2	HB	14	65	1
1	15	65	1	1	HB	HBP17	17	3	18	1	4	3	0	3	3	HBP17_RM3A	3	8	34	11	7	1114	100624		4E281C60	34	11	u	0	0	7	0	CRF	7	3	0		45671	34	11	u	0	0	7	0	HB	15	65	1
1	13	65	1	1	HB	HBP17	17	3	13	1	5	3	1	3	3	HBP17_RM3A	3	8	34	11	7	1114	100624		4E281C61	34	11	u	0	0	7	1	CRF	7	3	1		45671	34	11	u	0	0	7	1	HB	13	65	1
1	16	65	1	1	HB	HBP17	17	3	1	1	3	3	2	3	3	HBP17_RM3A	3	8	34	11	7	1114	100624		4E281C62	34	11	u	0	0	7	2	CRF	7	3	2		45671	34	11	u	0	0	7	2	HB	16	65	1
1	16	66	2	1	HB	HBP17	17	4	2	1	0	2	0	3	4	HBP17_RM4A	2	9	34	11	8	1114	100676		4E282040	34	11	u	0	0	8	0	CRF	8	2	0		45682	34	11	u	0	0	8	0	HB	16	66	2
1	15	66	2	1	HB	HBP17	17	4	7	1	1	2	1	3	4	HBP17_RM4A	2	9	34	11	8	1114	100676		4E282041	34	11	u	0	0	8	1	CRF	8	2	1		45682	34	11	u	0	0	8	1	HB	15	66	2
1	14	66	1	1	HB	HBP17	17	4	6	1	2	2	2	3	4	HBP17_RM4A	2	9	34	11	8	1114	100676		4E282042	34	11	u	0	0	8	2	CRF	8	2	2		45681	34	11	u	0	0	8	2	HB	14	66	1
1	15	66	1	1	HB	HBP17	17	4	1	1	4	3	0	3	4	HBP17_RM4A	3	10	34	11	9	1114	100676		4E282060	34	11	u	0	0	9	0	CRF	8	3	0		45691	34	11	u	0	0	9	0	HB	15	66	1
1	13	66	1	1	HB	HBP17	17	4	5	1	5	3	1	3	4	HBP17_RM4A	3	10	34	11	9	1114	100676		4E282061	34	11	u	0	0	9	1	CRF	8	3	1		45691	34	11	u	0	0	9	1	HB	13	66	1
1	16	66	1	1	HB	HBP17	17	4	3	1	3	3	2	3	4	HBP17_RM4A	3	10	34	11	9	1114	100676		4E282062	34	11	u	0	0	9	2	CRF	8	3	2		45691	34	11	u	0	0	9	2	HB	16	66	1
1	29	63	1	2	ngHE	HEP17	17	1	8	1	7	2	0	1	1	HEP17_RM1A	2	1	34	11	12	1114	600429		4E280440	34	11	u	0	0	12	0	CRF	1	2	0		456C1	34	11	u	0	0	12	0	HE	29	63	1
1	28	63	1	2	ngHE	HEP17	17	1	7	1	8	2	1	1	1	HEP17_RM1A	2	1	34	11	12	1114	600429		4E280441	34	11	u	0	0	12	1	CRF	1	2	1		456C1	34	11	u	0	0	12	1	HE	28	63	1
1	18	63	2	1	ngHE	HEP17	17	1	15	1	9	2	2	1	1	HEP17_RM1A	2	1	34	11	12	1114	600429		4E280442	34	11	u	0	0	12	2	CRF	1	2	2		456C2	34	11	u	0	0	12	2	HE	18	63	2
1	17	63	2	1	ngHE	HEP17	17	1	14	1	10	2	3	1	1	HEP17_RM1A	2	1	34	11	12	1114	600429		4E280443	34	11	u	0	0	12	3	CRF	1	2	3		456C2	34	11	u	0	0	12	3	HE	17	63	2
1	16	63	4	1	ngHE	HEP17	17	1	13	1	11	2	4	1	1	HEP17_RM1A	2	1	34	11	12	1114	600429		4E280444	34	11	u	0	0	12	4	CRF	1	2	4		456C4	34	11	u	0	0	12	4	HE	16	63	4
1	29	63	2	2	ngHE	HEP17	17	1	24	1	12	2	5	1	1	HEP17_RM1A	2	1	34	11	12	1114	600429		4E280445	34	11	u	0	0	12	5	CRF	1	2	5		456C2	34	11	u	0	0	12	5	HE	29	63	2
1	28	63	2	2	ngHE	HEP17	17	1	23	2	7	4	0	1	1	HEP17_RM1A	4	2	34	11	13	1114	600425		4E280480	34	11	u	0	0	13	0	CRF	1	4	0		456D2	34	11	u	0	0	13	0	HE	28	63	2
1	28	63	5	2	ngHE	HEP17	17	1	38	2	8	4	1	1	1	HEP17_RM1A	4	2	34	11	13	1114	600425		4E280481	34	11	u	0	0	13	1	CRF	1	4	1		456D5	34	11	u	0	0	13	1	HE	28	63	5
1	28	63	3	2	ngHE	HEP17	17	1	40	2	9	4	2	1	1	HEP17_RM1A	4	2	34	11	13	1114	600425		4E280482	34	11	u	0	0	13	2	CRF	1	4	2		456D3	34	11	u	0	0	13	2	HE	28	63	3
1	28	63	7	2	ngHE	HEP17	17	1	48	2	10	4	3	1	1	HEP17_RM1A	4	2	34	11	13	1114	600425		4E280483	34	11	u	0	0	13	3	CRF	1	4	3		456D7	34	11	u	0	0	13	3	HE	28	63	7
1	26	63	7	2	ngHE	HEP17	17	1	47	2	11	4	4	1	1	HEP17_RM1A	4	2	34	11	13	1114	600425		4E280484	34	11	u	0	0	13	4	CRF	1	4	4		456D7	34	11	u	0	0	13	4	HE	26	63	7
1	28	63	6	2	ngHE	HEP17	17	1	46	2	12	4	5	1	1	HEP17_RM1A	4	2	34	11	13	1114	600425		4E280485	34	11	u	0	0	13	5	CRF	1	4	5		456D6	34	11	u	0	0	13	5	HE	28	63	6
