iEta,iPhi,Depth,RM,RM fiber,channel number,Mean TDC time[ns],Uncertainty,Adjustment [ns],Adjustment [phase units]
  27,  63,    1,  2,7,0,107.4,0.01,-1.4,-3
  27,  65,    1,  3,2,0,106.4,0.01,-0.4,-1
  27,  63,    2,  2,7,5,106.1,0.01,-0.1,0
  27,  65,    2,  3,2,5,104.6,0.01,1.4,3
  27,  63,    3,  2,5,1,104.2,0.02,1.8,4
  27,  65,    3,  3,4,2,104.3,0.02,1.7,3
  27,  63,    4,  2,4,4,106.0,0.03,0.0,0
  27,  65,    4,  3,6,1,104.4,0.02,1.6,3
  27,  63,    5,  2,5,2,105.0,0.04,1.0,2
  27,  65,    5,  3,4,1,104.3,0.04,1.7,3
  27,  63,    6,  2,5,3,105.9,0.06,0.1,0
  27,  65,    6,  3,4,5,103.7,0.06,2.3,5
  27,  63,    7,  2,5,0,107.6,0.13,-1.6,-3
  27,  65,    7,  3,4,3,106.2,0.12,-0.2,0
  28,  63,    1,  1,2,1,106.4,0.01,-0.4,-1
  28,  65,    1,  4,7,1,106.6,0.01,-0.6,-1
  28,  63,    2,  1,4,0,105.8,0.01,0.2,0
  28,  65,    2,  4,5,5,105.3,0.01,0.7,1
  28,  63,    3,  1,4,2,107.0,0.03,-1.0,-2
  28,  65,    3,  4,5,1,104.8,0.01,1.2,2
  28,  63,    4,  1,6,1,106.9,0.01,-0.9,-2
  28,  65,    4,  4,4,4,106.2,0.01,-0.2,0
  28,  63,    5,  1,4,1,106.3,0.02,-0.3,-1
  28,  65,    5,  4,5,2,106.4,0.02,-0.4,-1
  28,  63,    6,  1,4,5,105.6,0.02,0.4,1
  28,  65,    6,  4,5,3,105.9,0.02,0.1,0
  28,  63,    7,  1,4,3,108.0,0.03,-2.0,-4
  28,  65,    7,  4,5,0,106.1,0.03,-0.1,0
  29,  63,    1,  1,2,0,104.9,0.01,1.1,2
  29,  65,    1,  4,7,0,105.2,0.02,0.8,2
  29,  63,    2,  1,2,5,105.8,0.01,0.2,0
  29,  65,    2,  4,7,5,104.7,0.01,1.3,3
  29,  63,    3,  2,5,4,106.8,0.04,-0.8,-2
  29,  65,    3,  3,4,4,105.0,0.02,1.0,2
