nDigis,iEta,iPhi,Depth,Mean TDC time[ns], TDC time RMS[ns], Uncertainty,Adjustment[ns],Adjustment[phase units],Net adjustment combined with first round
5322,18,8,3,80.40,2.96,0.041,0.6,1,-7
1158,18,8,4,80.93,3.07,0.090,0.1,0,-4
560,18,8,5,80.44,3.89,0.164,0.6,1,-4
35382,18,9,2,80.58,4.00,0.021,0.4,1,-8
8306,18,9,3,80.60,3.21,0.035,0.4,1,-4
1612,18,9,4,80.34,3.09,0.077,0.7,1,-4
816,18,9,5,80.31,3.89,0.136,0.7,1,-5
36451,18,10,2,80.29,4.14,0.022,0.7,1,-9
7820,18,10,3,80.22,3.20,0.036,0.8,2,-4
1350,18,10,4,80.42,3.46,0.094,0.6,1,-3
718,18,10,5,80.32,3.38,0.126,0.7,1,-2
27395,18,11,2,80.45,4.04,0.024,0.6,1,-12
6016,18,11,3,80.22,3.23,0.042,0.8,2,-9
1577,18,11,4,80.90,3.37,0.085,0.1,0,-8
591,18,11,5,80.98,4.57,0.188,0.0,0,-8
27584,18,12,2,80.64,4.23,0.025,0.4,1,-11
6301,18,12,3,80.32,3.18,0.040,0.7,1,-10
1462,18,12,4,80.38,3.26,0.085,0.6,1,-8
586,18,12,5,80.37,3.62,0.149,0.6,1,-6
39299,18,13,2,80.60,4.12,0.021,0.4,1,-9
7115,18,13,3,80.67,3.08,0.037,0.3,1,-6
1383,18,13,4,80.58,3.36,0.090,0.4,1,-6
686,18,13,5,80.26,3.63,0.139,0.7,1,-6
30846,18,14,2,80.36,3.88,0.022,0.6,1,-10
7873,18,14,3,80.67,2.96,0.033,0.3,1,-6
1509,18,14,4,80.63,3.20,0.082,0.4,1,-4
771,18,14,5,80.13,2.98,0.107,0.9,2,-2
26866,18,15,2,80.64,3.90,0.024,0.4,1,-10
7195,18,15,3,80.49,3.07,0.036,0.5,1,-7
1611,18,15,4,80.07,3.23,0.080,0.9,2,-7
682,18,15,5,80.61,3.61,0.138,0.4,1,-5
27808,18,16,2,80.61,3.85,0.023,0.4,1,-11
7288,18,16,3,80.39,3.08,0.036,0.6,1,-9
1313,18,16,4,80.75,3.22,0.089,0.3,1,-6
673,18,16,5,80.03,3.25,0.125,1.0,2,-6
31015,18,17,2,80.67,4.23,0.024,0.3,1,-9
6054,18,17,3,80.45,3.23,0.041,0.6,1,-7
1173,18,17,4,80.10,2.96,0.087,0.9,2,-5
669,18,17,5,80.06,3.62,0.140,0.9,2,-4
21483,18,18,2,80.53,4.12,0.028,0.5,1,-12
7423,18,18,3,80.51,3.48,0.040,0.5,1,-6
1221,18,18,4,80.74,3.31,0.095,0.3,1,-4
517,18,18,5,80.50,3.92,0.172,0.5,1,-4
26303,18,19,2,80.52,4.33,0.027,0.5,1,-13
6245,18,19,3,80.46,3.26,0.041,0.5,1,-8
1145,18,19,4,80.60,3.22,0.095,0.4,1,-7
463,18,19,5,80.36,3.95,0.184,0.6,1,-7
29701,18,20,2,79.95,4.23,0.025,1.1,2,-11
5302,18,20,3,80.68,3.22,0.044,0.3,1,-7
1439,18,20,4,80.18,3.37,0.089,0.8,2,-7
479,18,20,5,80.44,3.90,0.178,0.6,1,-6
33537,18,21,2,80.54,4.09,0.022,0.5,1,-10
9123,18,21,3,80.67,3.09,0.032,0.3,1,-4
1517,18,21,4,80.27,3.33,0.086,0.7,1,-5
707,18,21,5,80.34,3.83,0.144,0.7,1,-5
30886,18,22,2,80.43,3.86,0.022,0.6,1,-9
9087,18,22,3,80.41,3.26,0.034,0.6,1,-6
1615,18,22,4,80.21,2.78,0.069,0.8,2,-2
819,18,22,5,80.50,3.57,0.125,0.5,1,-3
25324,18,23,2,80.67,3.99,0.025,0.3,1,-12
7473,18,23,3,80.29,2.96,0.034,0.7,1,-7
1410,18,23,4,80.19,3.15,0.084,0.8,2,-5
523,18,23,5,80.25,4.07,0.178,0.8,2,-5
21727,18,24,2,80.34,3.80,0.026,0.7,1,-10
7446,18,24,3,80.72,3.15,0.037,0.3,1,-7
1232,18,24,4,80.44,3.12,0.089,0.6,1,-5
496,18,24,5,80.50,3.86,0.173,0.5,1,-4
32307,18,25,2,80.57,3.99,0.022,0.4,1,-8
6605,18,25,3,80.34,3.30,0.041,0.7,1,-6
1251,18,25,4,80.42,2.81,0.080,0.6,1,-5
555,18,25,5,80.69,3.82,0.162,0.3,1,-4
33310,18,26,2,80.39,4.09,0.022,0.6,1,-9
7647,18,26,3,80.27,3.15,0.036,0.7,1,-8
1265,18,26,4,80.16,3.06,0.086,0.8,2,-5
719,18,26,5,80.32,3.16,0.118,0.7,1,-6
34084,18,27,2,80.68,4.13,0.022,0.3,1,-11
7824,18,27,3,80.25,3.15,0.036,0.8,2,-5
1267,18,27,4,80.46,3.13,0.088,0.5,1,-4
590,18,27,5,80.36,3.78,0.156,0.6,1,-5
36682,18,28,2,80.49,4.27,0.022,0.5,1,-10
6010,18,28,3,80.28,2.99,0.039,0.7,1,-7
1233,18,28,4,80.56,3.13,0.089,0.4,1,-4
631,18,28,5,80.43,4.08,0.162,0.6,1,-4
29071,18,29,2,80.29,3.93,0.023,0.7,1,-7
7645,18,29,3,80.30,3.12,0.036,0.7,1,-5
1616,18,29,4,80.10,3.30,0.082,0.9,2,-4
744,18,29,5,80.28,3.47,0.127,0.7,1,-4
25257,18,30,2,80.51,4.08,0.026,0.5,1,-10
8834,18,30,3,80.45,3.24,0.034,0.5,1,-5
1492,18,30,4,80.16,3.08,0.080,0.8,2,-3
574,18,30,5,80.69,3.70,0.155,0.3,1,-4
25043,18,31,2,79.58,13.99,0.088,1.4,3,-9
6537,18,31,3,79.38,11.77,0.146,1.6,3,-5
1425,18,31,4,78.84,11.36,0.301,2.2,4,-2
521,18,31,5,78.96,9.72,0.426,2.0,4,-4
25739,18,32,2,79.69,13.51,0.084,1.3,3,-7
6984,18,32,3,79.30,11.74,0.140,1.7,3,-6
1414,18,32,4,79.22,10.90,0.290,1.8,4,-2
642,18,32,5,78.67,12.11,0.478,2.3,5,-1
39990,18,33,2,79.69,14.34,0.072,1.3,3,-5
8560,18,33,3,79.47,12.06,0.130,1.5,3,-2
1794,18,33,4,80.01,10.15,0.240,1.0,2,-3
699,18,33,5,78.83,10.53,0.398,2.2,4,-1
31025,18,34,2,79.83,14.02,0.080,1.2,2,-8
7840,18,34,3,79.38,12.12,0.137,1.6,3,-3
1373,18,34,4,79.24,11.69,0.315,1.8,4,-1
593,18,34,5,78.66,11.08,0.455,2.3,5,1
26729,18,35,2,80.66,4.26,0.026,0.3,1,-12
6547,18,35,3,80.34,3.14,0.039,0.7,1,-8
975,18,35,4,80.12,3.01,0.096,0.9,2,-6
524,18,35,5,80.41,3.59,0.157,0.6,1,-7
24869,18,36,2,80.45,4.37,0.028,0.6,1,-11
5958,18,36,3,80.40,3.36,0.044,0.6,1,-9
942,18,36,4,80.61,3.46,0.113,0.4,1,-6
427,18,36,5,80.78,3.94,0.191,0.2,0,-6
20475,18,37,2,80.38,4.01,0.028,0.6,1,-8
6040,18,37,3,80.40,3.45,0.044,0.6,1,-7
1265,18,37,4,80.35,3.25,0.092,0.6,1,-6
489,18,37,5,80.10,3.04,0.137,0.9,2,-4
21240,18,38,2,80.63,3.99,0.027,0.4,1,-9
6849,18,38,3,80.44,3.32,0.040,0.6,1,-6
1194,18,38,4,80.34,3.22,0.093,0.7,1,-4
638,18,38,5,80.57,3.31,0.131,0.4,1,-3
30464,18,39,2,80.28,4.04,0.023,0.7,1,-13
7283,18,39,3,80.64,3.22,0.038,0.4,1,-8
835,18,39,4,80.27,3.02,0.105,0.7,1,-8
576,18,39,5,80.05,3.27,0.136,0.9,2,-7
30068,18,40,2,80.57,3.94,0.023,0.4,1,-10
8018,18,40,3,80.40,3.16,0.035,0.6,1,-9
1025,18,40,4,80.12,3.01,0.094,0.9,2,-6
603,18,40,5,79.92,2.62,0.107,1.1,2,-6
31798,18,41,2,80.37,3.94,0.022,0.6,1,-10
8633,18,41,3,80.35,3.16,0.034,0.6,1,-6
1449,18,41,4,80.38,3.13,0.082,0.6,1,-6
721,18,41,5,80.39,3.57,0.133,0.6,1,-6
29109,18,42,2,80.42,4.24,0.025,0.6,1,-11
7668,18,42,3,80.46,3.43,0.039,0.5,1,-7
1189,18,42,4,80.81,3.65,0.106,0.2,0,-6
652,18,42,5,80.22,3.44,0.135,0.8,2,-5
18656,18,43,2,80.67,3.84,0.028,0.3,1,-11
6406,18,43,3,80.41,3.21,0.040,0.6,1,-7
1474,18,43,4,80.71,3.79,0.099,0.3,1,-7
474,18,43,5,80.36,3.55,0.163,0.6,1,-6
20708,18,44,2,80.63,3.84,0.027,0.4,1,-10
6851,18,44,3,80.54,3.12,0.038,0.5,1,-8
1007,18,44,4,80.60,3.03,0.096,0.4,1,-5
527,18,44,5,80.48,3.52,0.153,0.5,1,-6
29365,18,45,2,80.23,4.15,0.024,0.8,2,-11
7388,18,45,3,80.63,3.42,0.040,0.4,1,-6
1360,18,45,4,80.48,3.35,0.091,0.5,1,-6
656,18,45,5,80.48,3.08,0.120,0.5,1,-5
29964,18,46,2,80.27,4.08,0.024,0.7,1,-10
7522,18,46,3,80.51,3.46,0.040,0.5,1,-7
1157,18,46,4,80.75,3.16,0.093,0.3,1,-4
690,18,46,5,80.89,3.74,0.142,0.1,0,-5
19577,18,47,2,80.06,3.95,0.028,0.9,2,-10
5411,18,47,3,80.41,3.18,0.043,0.6,1,-6
993,18,47,4,80.38,3.31,0.105,0.6,1,-6
573,18,47,5,79.97,3.81,0.159,1.0,2,-6
21567,18,48,2,80.41,4.03,0.027,0.6,1,-10
5356,18,48,3,80.57,3.16,0.043,0.4,1,-7
1033,18,48,4,80.51,3.00,0.093,0.5,1,-6
528,18,48,5,80.20,3.54,0.154,0.8,2,-5
27067,18,49,2,80.31,4.08,0.025,0.7,1,-9
7409,18,49,3,80.45,3.40,0.040,0.5,1,-5
1261,18,49,4,80.19,3.42,0.096,0.8,2,-5
577,18,49,5,80.29,3.67,0.153,0.7,1,-5
29735,18,50,2,80.41,3.93,0.023,0.6,1,-10
7285,18,50,3,80.31,3.30,0.039,0.7,1,-6
1323,18,50,4,80.14,3.08,0.085,0.9,2,-3
640,18,50,5,80.24,3.64,0.144,0.8,2,-2
25672,18,51,2,80.07,4.01,0.025,0.9,2,-9
6421,18,51,3,80.24,3.23,0.040,0.8,2,-6
1032,18,51,4,80.60,3.17,0.099,0.4,1,-4
559,18,51,5,79.94,3.25,0.138,1.1,2,-5
27835,18,52,2,80.22,4.06,0.024,0.8,2,-8
7585,18,52,3,80.42,3.24,0.037,0.6,1,-6
1435,18,52,4,80.26,3.36,0.089,0.7,1,-6
574,18,52,5,80.24,4.00,0.167,0.8,2,-2
33909,18,53,2,81.32,4.45,0.024,-0.3,-1,-12
6502,18,53,3,80.28,3.20,0.040,0.7,1,-5
1511,18,53,4,80.13,3.16,0.081,0.9,2,-5
781,18,53,5,80.22,3.94,0.141,0.8,2,-5
24526,18,54,2,79.05,4.29,0.027,2.0,4,-10
6383,18,54,3,80.33,3.27,0.041,0.7,1,-6
1116,18,54,4,80.34,3.47,0.104,0.7,1,-5
542,18,54,5,80.10,3.92,0.169,0.9,2,-3
20228,18,55,2,80.33,4.28,0.030,0.7,1,-11
5976,18,55,3,80.15,3.18,0.041,0.8,2,-7
1060,18,55,4,80.05,3.54,0.109,0.9,2,-7
544,18,55,5,80.80,4.38,0.188,0.2,0,-5
23402,18,56,2,80.12,4.29,0.028,0.9,2,-10
5880,18,56,3,79.18,3.03,0.039,1.8,4,-7
1216,18,56,4,79.29,3.45,0.099,1.7,3,-8
483,18,56,5,79.20,4.09,0.186,1.8,4,-5
28118,18,57,2,80.01,3.94,0.024,1.0,2,-8
6618,18,57,3,80.28,3.62,0.044,0.7,1,-5
931,18,57,4,80.27,2.87,0.094,0.7,1,-6
664,18,57,5,80.59,3.56,0.138,0.4,1,-4
148181,18,58,2,80.08,3.73,0.010,0.9,2,-14
6267,18,58,3,80.30,3.25,0.041,0.7,1,-6
1322,18,58,4,79.86,2.83,0.078,1.1,2,-4
689,18,58,5,80.36,2.99,0.114,0.6,1,-2
16379,18,59,2,80.37,3.93,0.031,0.6,1,-12
6466,18,59,3,80.23,3.17,0.039,0.8,2,-7
1063,18,59,4,80.17,3.05,0.094,0.8,2,-7
564,18,59,5,80.59,4.87,0.205,0.4,1,-7
21752,18,60,2,80.12,3.95,0.027,0.9,2,-11
5637,18,60,3,80.18,2.98,0.040,0.8,2,-8
1234,18,60,4,80.13,3.62,0.103,0.9,2,-7
592,18,60,5,80.38,3.74,0.154,0.6,1,-8
69413,18,61,2,80.25,4.66,0.018,0.7,1,-14
6503,18,61,3,80.43,3.16,0.039,0.6,1,-6
1450,18,61,4,80.49,3.42,0.090,0.5,1,-7
636,18,61,5,79.98,3.46,0.137,1.0,2,-5
26181,18,62,2,80.49,4.01,0.025,0.5,1,-10
6802,18,62,3,80.17,3.32,0.040,0.8,2,-7
1243,18,62,4,80.24,3.00,0.085,0.8,2,-5
641,18,62,5,80.32,3.35,0.132,0.7,1,-4
18384,18,63,2,80.34,4.01,0.030,0.7,1,-12
7022,18,63,3,80.18,3.20,0.038,0.8,2,-7
1107,18,63,4,80.56,3.23,0.097,0.4,1,-6
509,18,63,5,80.16,3.66,0.162,0.8,2,-6
28042,18,64,2,80.21,4.19,0.025,0.8,2,-10
6233,18,64,3,80.47,3.13,0.040,0.5,1,-9
1254,18,64,4,80.56,3.34,0.094,0.4,1,-6
481,18,64,5,80.18,3.59,0.164,0.8,2,-4
24207,18,65,2,80.33,3.79,0.024,0.7,1,-10
8545,18,65,3,80.03,3.23,0.035,1.0,2,-7
1148,18,65,4,80.25,2.97,0.088,0.7,1,-7
635,18,65,5,79.99,3.61,0.143,1.0,2,-5
22230,18,66,2,80.27,3.96,0.027,0.7,1,-11
6566,18,66,3,80.00,3.34,0.041,1.0,2,-7
1165,18,66,4,80.08,3.78,0.111,0.9,2,-6
522,18,66,5,80.13,3.03,0.133,0.9,2,-4
19466,18,67,2,80.51,4.07,0.029,0.5,1,-12
6411,18,67,3,79.96,3.04,0.038,1.0,2,-6
730,18,67,4,80.16,2.91,0.108,0.8,2,-5
420,18,67,5,80.41,4.19,0.205,0.6,1,-6
23190,18,68,2,80.69,4.16,0.027,0.3,1,-9
5779,18,68,3,80.39,2.99,0.039,0.6,1,-8
1195,18,68,4,80.42,3.45,0.100,0.6,1,-6
557,18,68,5,79.75,3.55,0.150,1.2,2,-6
30903,18,69,2,80.15,3.92,0.022,0.9,2,-9
8170,18,69,3,80.19,3.11,0.034,0.8,2,-5
1402,18,69,4,80.14,3.39,0.091,0.9,2,-6
824,18,69,5,80.19,3.37,0.117,0.8,2,-5
22962,18,70,2,80.49,3.94,0.026,0.5,1,-10
6303,18,70,3,80.38,3.17,0.040,0.6,1,-7
1550,18,70,4,80.26,3.15,0.080,0.7,1,-5
688,18,70,5,80.41,3.37,0.128,0.6,1,-4
20486,18,71,2,80.49,4.08,0.029,0.5,1,-12
5832,18,71,3,80.49,3.45,0.045,0.5,1,-8
1134,18,71,4,80.32,3.03,0.090,0.7,1,-8
400,18,71,5,80.51,3.62,0.181,0.5,1,-7
25565,18,72,2,80.63,4.43,0.028,0.4,1,-14
5740,18,72,3,80.37,3.34,0.044,0.6,1,-9
938,18,72,4,80.23,3.06,0.100,0.8,2,-7
493,18,72,5,80.90,4.53,0.204,0.1,0,-8
96581,19,1,1,80.47,4.91,0.016,0.5,1,-17
13908,19,1,2,80.31,3.14,0.027,0.7,1,-7
5171,19,1,3,80.51,3.07,0.043,0.5,1,-7
1851,19,1,4,80.46,3.15,0.073,0.5,1,-9
479,19,1,5,80.34,2.74,0.125,0.7,1,-3
133,19,1,6,79.78,5.64,0.489,1.2,2,-4
199219,19,2,1,80.83,5.50,0.012,0.2,0,-16
13671,19,2,2,80.63,3.24,0.028,0.4,1,-9
4962,19,2,3,80.48,2.72,0.039,0.5,1,-7
1685,19,2,4,80.15,2.86,0.070,0.8,2,-5
730,19,2,5,80.57,3.15,0.116,0.4,1,-2
116,19,2,6,79.41,6.58,0.611,1.6,3,-4
194497,19,3,1,80.99,5.60,0.013,0.0,0,-19
17652,19,3,2,80.80,3.29,0.025,0.2,0,-12
4699,19,3,3,80.81,3.01,0.044,0.2,0,-11
2081,19,3,4,80.54,3.29,0.072,0.5,1,-8
549,19,3,5,80.15,2.94,0.125,0.8,2,-5
147,19,3,6,80.64,6.65,0.549,0.4,0,-9
201370,19,4,1,80.99,5.67,0.013,0.0,0,-19
17013,19,4,2,80.38,3.17,0.024,0.6,1,-9
3791,19,4,3,80.20,2.98,0.048,0.8,2,-9
1702,19,4,4,80.37,2.96,0.072,0.6,1,-9
557,19,4,5,80.51,3.47,0.147,0.5,1,-6
122,19,4,6,81.29,6.37,0.577,-0.3,0,-11
225044,19,5,1,81.31,5.57,0.012,-0.3,-1,-16
19298,19,5,2,80.43,3.28,0.024,0.6,1,-8
7025,19,5,3,80.48,3.25,0.039,0.5,1,-8
2031,19,5,4,80.60,3.03,0.067,0.4,1,-8
684,19,5,5,79.92,3.36,0.128,1.1,2,-3
141,19,5,6,80.14,4.31,0.363,0.9,2,-4
215181,19,6,1,81.13,5.64,0.012,-0.1,0,-15
22563,19,6,2,80.55,3.41,0.023,0.5,1,-8
5325,19,6,3,80.79,3.04,0.042,0.2,0,-9
2340,19,6,4,80.47,3.16,0.065,0.5,1,-7
692,19,6,5,80.32,3.47,0.132,0.7,1,-2
144,19,6,6,79.69,5.20,0.433,1.3,3,-1
193021,19,7,1,81.21,5.62,0.013,-0.2,0,-17
18641,19,7,2,80.63,3.30,0.024,0.4,1,-9
3552,19,7,3,80.48,2.91,0.049,0.5,1,-8
1908,19,7,4,80.24,2.86,0.065,0.8,2,-4
492,19,7,5,80.38,3.04,0.137,0.6,1,-3
117,19,7,6,80.15,5.56,0.514,0.9,2,-5
178095,19,8,1,80.77,5.67,0.013,0.2,0,-18
14920,19,8,2,80.33,3.12,0.026,0.7,1,-8
5375,19,8,3,80.44,2.97,0.040,0.6,1,-7
1638,19,8,4,80.37,2.88,0.071,0.6,1,-7
609,19,8,5,80.24,2.92,0.119,0.8,2,-2
119,19,8,6,80.63,6.81,0.624,0.4,0,-11
216239,19,9,1,81.19,5.59,0.012,-0.2,0,-14
19215,19,9,2,80.66,3.34,0.024,0.3,1,-6
5601,19,9,3,80.62,2.95,0.039,0.4,1,-7
2205,19,9,4,80.37,3.14,0.067,0.6,1,-7
708,19,9,5,80.36,3.13,0.118,0.6,1,-1
161,19,9,6,80.26,5.90,0.465,0.7,1,-4
194336,19,10,1,81.16,5.55,0.013,-0.2,0,-14
16183,19,10,2,80.43,3.22,0.025,0.6,1,-6
7461,19,10,3,80.63,3.10,0.036,0.4,1,-6
1992,19,10,4,80.58,3.39,0.076,0.4,1,-4
790,19,10,5,80.72,3.58,0.127,0.3,1,0
169,19,10,6,80.37,5.42,0.417,0.6,1,-3
178100,19,11,1,80.86,5.42,0.013,0.1,0,-18
15786,19,11,2,80.74,3.14,0.025,0.3,1,-10
4566,19,11,3,80.67,2.99,0.044,0.3,1,-10
1812,19,11,4,80.59,3.15,0.074,0.4,1,-8
710,19,11,5,80.66,3.50,0.131,0.3,1,-4
124,19,11,6,79.73,6.07,0.545,1.3,3,-9
193947,19,12,1,80.91,5.67,0.013,0.1,0,-19
16545,19,12,2,80.36,3.04,0.024,0.6,1,-9
5491,19,12,3,80.38,2.87,0.039,0.6,1,-9
1879,19,12,4,80.64,3.11,0.072,0.4,1,-8
842,19,12,5,80.17,3.04,0.105,0.8,2,-5
143,19,12,6,80.75,6.90,0.577,0.2,0,-11
204628,19,13,1,81.12,5.57,0.012,-0.1,0,-17
21004,19,13,2,80.27,3.26,0.022,0.7,1,-9
5740,19,13,3,80.75,2.96,0.039,0.2,0,-7
2049,19,13,4,80.19,3.12,0.069,0.8,2,-7
608,19,13,5,80.50,3.19,0.129,0.5,1,-4
156,19,13,6,80.19,5.69,0.455,0.8,2,-3
163093,19,14,1,81.09,5.40,0.013,-0.1,0,-16
15981,19,14,2,80.58,3.39,0.027,0.4,1,-9
4764,19,14,3,80.51,3.10,0.045,0.5,1,-8
1805,19,14,4,80.61,3.12,0.074,0.4,1,-6
650,19,14,5,80.60,3.39,0.133,0.4,1,-3
109,19,14,6,78.60,3.24,0.310,2.4,5,-2
187206,19,15,1,81.21,5.49,0.013,-0.2,0,-18
19357,19,15,2,80.58,3.25,0.023,0.4,1,-10
6259,19,15,3,80.41,2.94,0.037,0.6,1,-10
2016,19,15,4,80.41,3.02,0.067,0.6,1,-8
668,19,15,5,80.69,3.38,0.131,0.3,1,-4
175,19,15,6,80.23,7.90,0.597,0.8,2,-8
178106,19,16,1,81.25,5.59,0.013,-0.2,0,-19
18588,19,16,2,80.84,3.14,0.023,0.2,0,-9
5450,19,16,3,80.45,2.91,0.039,0.6,1,-12
1765,19,16,4,80.40,2.89,0.069,0.6,1,-9
812,19,16,5,80.31,3.23,0.113,0.7,1,-5
141,19,16,6,80.80,7.35,0.619,0.2,0,-11
193824,19,17,1,81.17,5.44,0.012,-0.2,0,-16
16157,19,17,2,80.70,3.32,0.026,0.3,1,-6
4114,19,17,3,80.43,2.95,0.046,0.6,1,-7
1780,19,17,4,80.30,3.54,0.084,0.7,1,-9
673,19,17,5,80.18,3.29,0.127,0.8,2,-2
133,19,17,6,81.58,7.37,0.639,-0.6,0,-7
205023,19,18,1,80.92,5.63,0.012,0.1,0,-16
15352,19,18,2,80.43,3.23,0.026,0.6,1,-9
4835,19,18,3,80.43,2.99,0.043,0.6,1,-8
1882,19,18,4,80.83,3.10,0.071,0.2,0,-7
685,19,18,5,80.72,3.22,0.123,0.3,1,-2
95,19,18,6,79.12,3.70,0.380,1.9,4,-2
192455,19,19,1,81.04,5.72,0.013,-0.0,0,-18
14083,19,19,2,80.32,3.13,0.026,0.7,1,-10
4134,19,19,3,80.50,2.92,0.045,0.5,1,-8
1888,19,19,4,80.48,2.90,0.067,0.5,1,-7
524,19,19,5,80.63,3.75,0.164,0.4,1,-4
143,19,19,6,79.46,6.06,0.507,1.5,3,-7
174953,19,20,1,81.03,5.61,0.013,-0.0,0,-18
14314,19,20,2,80.52,3.12,0.026,0.5,1,-9
4689,19,20,3,80.56,3.19,0.047,0.4,1,-8
1420,19,20,4,80.60,3.05,0.081,0.4,1,-7
594,19,20,5,80.42,3.19,0.131,0.6,1,-3
97,19,20,6,79.52,5.97,0.607,1.5,3,-9
199619,19,21,1,81.17,5.55,0.012,-0.2,0,-16
17123,19,21,2,80.32,3.28,0.025,0.7,1,-7
6503,19,21,3,80.67,3.19,0.040,0.3,1,-6
2061,19,21,4,80.57,3.07,0.068,0.4,1,-7
755,19,21,5,80.28,3.34,0.122,0.7,1,-2
146,19,21,6,80.52,4.60,0.381,0.5,1,-4
172197,19,22,1,81.24,5.40,0.013,-0.2,0,-15
18205,19,22,2,80.57,3.26,0.024,0.4,1,-8
6533,19,22,3,80.27,3.15,0.039,0.7,1,-8
2022,19,22,4,80.41,2.96,0.066,0.6,1,-6
829,19,22,5,80.52,3.19,0.111,0.5,1,-2
155,19,22,6,80.02,5.43,0.436,1.0,2,-3
189216,19,23,1,81.35,5.58,0.013,-0.4,-1,-18
16826,19,23,2,80.75,3.11,0.024,0.3,1,-9
4271,19,23,3,80.38,2.84,0.043,0.6,1,-8
1933,19,23,4,80.35,2.77,0.063,0.7,1,-7
511,19,23,5,80.12,3.46,0.153,0.9,2,-4
112,19,23,6,78.89,7.53,0.711,2.1,4,-8
187911,19,24,1,80.88,5.62,0.013,0.1,0,-17
16663,19,24,2,80.48,3.27,0.025,0.5,1,-9
5393,19,24,3,80.66,2.95,0.040,0.3,1,-7
1596,19,24,4,80.86,2.98,0.075,0.1,0,-7
606,19,24,5,80.56,3.48,0.141,0.4,1,-3
138,19,24,6,79.22,6.42,0.547,1.8,4,-10
188782,19,25,1,81.10,5.43,0.012,-0.1,0,-15
14303,19,25,2,80.46,3.08,0.026,0.5,1,-7
4854,19,25,3,80.37,3.01,0.043,0.6,1,-6
1687,19,25,4,80.21,3.03,0.074,0.8,2,-5
727,19,25,5,80.17,2.97,0.110,0.8,2,-3
145,19,25,6,81.34,6.79,0.564,-0.3,0,-7
162860,19,26,1,80.79,5.49,0.014,0.2,0,-16
16973,19,26,2,80.34,3.27,0.025,0.7,1,-8
4345,19,26,3,80.09,2.90,0.044,0.9,2,-8
1949,19,26,4,80.23,2.95,0.067,0.8,2,-4
776,19,26,5,80.24,3.28,0.118,0.8,2,-1
193,19,26,6,79.95,4.74,0.341,1.1,2,-2
221795,19,27,1,81.11,5.65,0.012,-0.1,0,-17
18955,19,27,2,80.72,3.21,0.023,0.3,1,-9
6204,19,27,3,80.74,3.10,0.039,0.3,1,-9
2256,19,27,4,80.34,2.94,0.062,0.7,1,-7
694,19,27,5,80.70,3.08,0.117,0.3,1,-2
141,19,27,6,79.32,5.65,0.476,1.7,3,-3
200573,19,28,1,81.27,5.75,0.013,-0.3,-1,-17
17812,19,28,2,80.71,3.27,0.024,0.3,1,-7
4400,19,28,3,80.52,2.80,0.042,0.5,1,-7
1744,19,28,4,80.32,3.13,0.075,0.7,1,-7
736,19,28,5,80.60,3.03,0.112,0.4,1,-4
48,19,28,6,78.07,5.80,0.836,2.9,6,-6
194942,19,29,1,81.00,5.57,0.013,-0.0,0,-16
13659,19,29,2,80.79,3.23,0.028,0.2,0,-7
4998,19,29,3,80.76,3.03,0.043,0.2,0,-6
2084,19,29,4,80.29,3.01,0.066,0.7,1,-6
765,19,29,5,80.40,3.03,0.109,0.6,1,-2
174,19,29,6,80.90,6.74,0.511,0.1,0,-5
189701,19,30,1,81.10,5.49,0.013,-0.1,0,-15
14671,19,30,2,80.76,3.22,0.027,0.2,0,-7
6481,19,30,3,80.53,2.96,0.037,0.5,1,-5
1958,19,30,4,80.30,3.06,0.069,0.7,1,-7
716,19,30,5,80.53,3.20,0.120,0.5,1,-2
150,19,30,6,81.35,5.89,0.481,-0.4,0,-4
194558,19,31,1,80.92,5.60,0.013,0.1,0,-17
15793,19,31,2,80.63,3.17,0.025,0.4,1,-8
4965,19,31,3,80.62,2.91,0.041,0.4,1,-8
1897,19,31,4,80.49,3.02,0.069,0.5,1,-6
642,19,31,5,80.42,3.00,0.119,0.6,1,-2
157,19,31,6,81.34,7.54,0.601,-0.3,0,-9
175399,19,32,1,80.92,5.59,0.013,0.1,0,-17
11995,19,32,2,80.58,3.18,0.029,0.4,1,-7
4268,19,32,3,80.46,3.16,0.048,0.5,1,-8
1805,19,32,4,80.41,3.27,0.077,0.6,1,-8
653,19,32,5,80.16,2.76,0.108,0.8,2,-2
93,19,32,6,80.59,5.55,0.576,0.4,0,-11
207477,19,33,1,80.87,5.58,0.012,0.1,0,-16
18475,19,33,2,80.62,3.33,0.024,0.4,1,-6
5650,19,33,3,80.40,3.04,0.040,0.6,1,-5
2148,19,33,4,80.56,2.98,0.064,0.4,1,-6
608,19,33,5,80.24,2.74,0.111,0.8,2,-2
159,19,33,6,80.86,5.75,0.456,0.1,0,-4
188466,19,34,1,81.20,5.58,0.013,-0.2,0,-14
19175,19,34,2,80.52,3.39,0.024,0.5,1,-7
5393,19,34,3,80.53,3.23,0.044,0.5,1,-6
2093,19,34,4,80.42,2.88,0.063,0.6,1,-5
827,19,34,5,80.41,3.60,0.125,0.6,1,-2
128,19,34,6,80.07,5.76,0.509,0.9,2,-2
199468,19,35,1,81.06,5.69,0.013,-0.1,0,-18
18209,19,35,2,80.62,3.29,0.024,0.4,1,-10
6509,19,35,3,80.52,3.20,0.040,0.5,1,-10
1568,19,35,4,80.45,3.51,0.089,0.5,1,-9
