nDigis,iEta,iPhi,Depth,Mean TDC time[ns], TDC time RMS[ns], Uncertainty,Adjustment[ns],Adjustment[phase units],Net adjustment combined with first round
16447,-28,71,2,78.36,2.72,0.021,2.6,5,-23
992834,-28,71,1,79.39,1.59,0.002,1.6,3,-13
168051,-28,69,7,80.93,4.12,0.010,0.1,0,-18
189621,-28,69,6,80.92,2.70,0.006,0.1,0,-14
215942,-28,69,5,80.62,2.28,0.005,0.4,1,-14
204768,-28,69,4,80.82,1.94,0.004,0.2,0,-15
36802,-28,69,3,79.72,2.85,0.015,1.3,3,-22
50709,-28,69,2,80.13,2.15,0.010,0.9,2,-16
1302943,-28,69,1,81.95,1.39,0.001,-0.9,-2,-17
134804,-28,67,7,80.58,3.21,0.009,0.4,1,-13
303073,-28,67,6,80.55,2.53,0.005,0.4,1,-12
75165,-28,67,5,80.44,1.97,0.007,0.6,1,-13
157419,-28,67,4,80.30,1.85,0.005,0.7,1,-14
13712,-28,67,3,79.45,3.12,0.027,1.6,3,-22
129911,-28,67,2,80.69,1.51,0.004,0.3,1,-13
727770,-28,67,1,80.74,1.73,0.002,0.3,1,-13
233130,-28,65,7,80.92,3.84,0.008,0.1,0,-18
328944,-28,65,6,80.56,2.66,0.005,0.4,1,-15
201690,-28,65,5,80.75,2.32,0.005,0.3,1,-16
80677,-28,65,4,80.38,1.99,0.007,0.6,1,-16
17753,-28,65,3,79.86,3.18,0.024,1.1,2,-25
204665,-28,65,2,80.69,1.67,0.004,0.3,1,-16
1223301,-28,65,1,80.39,1.42,0.001,0.6,1,-15
118338,-28,63,7,80.65,2.98,0.009,0.3,1,-13
162744,-28,63,6,80.65,2.51,0.006,0.4,1,-14
116717,-28,63,5,80.81,2.14,0.006,0.2,0,-15
36278,-28,63,4,80.73,1.66,0.009,0.3,1,-14
162920,-28,63,3,80.81,1.44,0.004,0.2,0,-13
217851,-28,63,2,80.65,1.24,0.003,0.3,1,-14
901521,-28,63,1,80.80,1.71,0.002,0.2,0,-15
164448,-28,61,7,80.72,3.95,0.010,0.3,1,-17
329936,-28,61,6,80.75,2.48,0.004,0.2,0,-14
205095,-28,61,5,80.61,2.32,0.005,0.4,1,-15
82054,-28,61,4,80.44,2.06,0.007,0.6,1,-16
115262,-28,61,3,80.82,1.37,0.004,0.2,0,-14
301164,-28,61,2,80.64,1.19,0.002,0.4,1,-13
1244476,-28,61,1,80.81,1.38,0.001,0.2,0,-16
118196,-28,59,7,80.75,3.10,0.009,0.2,0,-14
114605,-28,59,6,80.48,2.57,0.008,0.5,1,-15
63249,-28,59,5,80.78,2.06,0.008,0.2,0,-15
89197,-28,59,4,80.46,1.73,0.006,0.5,1,-16
103593,-28,59,3,80.91,1.39,0.004,0.1,0,-12
87510,-28,59,2,80.55,1.49,0.005,0.4,1,-15
