iEta,iPhi,Depth,CapID,RM,RM fiber,channel,Best DAC setting,Best mean pedestal,Error on best mean pedestal
19,65,5,0,3,5,0,1,9.51,0.21
19,66,5,0,4,1,0,9,9.49,0.21
19,63,6,0,1,8,0,8,9.27,0.21
19,64,6,0,2,1,1,1,9.48,0.21
19,65,6,0,3,8,0,9,9.56,0.21
19,66,6,0,4,1,1,1,8.93,0.2
20,63,1,0,1,7,1,3,8.5,0.19
20,64,1,0,2,2,1,9,9.45,0.21
20,65,1,0,3,7,1,0,9.48,0.21
20,66,1,0,4,2,1,1,9.4,0.21
20,63,2,0,1,8,3,9,9.23,0.21
20,64,2,0,2,1,3,0,9.59,0.22
20,65,2,0,3,8,3,8,8.99,0.2
20,66,2,0,4,1,3,8,9.34,0.21
20,63,3,0,1,1,1,0,9.15,0.21
20,64,3,0,2,8,1,1,9.61,0.22
20,65,3,0,3,1,1,2,8.35,0.19
20,66,3,0,4,8,1,9,8.98,0.2
20,63,4,0,1,8,5,0,8.52,0.19
20,64,4,0,2,1,5,0,9.4,0.21
20,65,4,0,3,8,5,1,8.46,0.19
20,66,4,0,4,1,5,1,8.4,0.19
20,63,5,0,1,5,3,8,8.98,0.2
20,64,5,0,2,3,2,2,8.69,0.2
20,65,5,0,3,5,3,0,8.46,0.19
20,66,5,0,4,3,2,1,8.82,0.2
20,63,6,0,1,5,2,0,9.35,0.21
20,64,6,0,2,3,5,3,8.62,0.19
20,65,6,0,3,5,2,0,8.91,0.2
20,66,6,0,4,3,5,0,8.94,0.2
21,63,1,0,2,2,2,1,9.46,0.21
21,65,1,0,3,7,2,8,8.6,0.19
21,63,2,0,2,1,2,1,9.18,0.21
21,65,2,0,3,8,2,1,9.31,0.21
21,63,3,0,2,8,2,8,8.82,0.2
21,65,3,0,3,1,2,3,9.17,0.21
21,63,4,0,2,1,4,8,8.5,0.19
21,65,4,0,3,8,4,8,8.49,0.19
21,63,5,0,2,6,0,10,9.3,0.21
21,65,5,0,3,5,4,1,9.56,0.21
21,63,6,0,2,3,3,0,9.45,0.21
21,65,6,0,3,5,5,9,8.99,0.2
22,63,1,0,1,7,2,0,8.97,0.2
22,65,1,0,4,2,2,9,9.02,0.2
22,63,2,0,1,8,2,0,9.52,0.21
22,65,2,0,4,1,2,2,9.42,0.21
22,63,3,0,1,1,2,0,8.49,0.19
22,65,3,0,4,8,2,8,9.25,0.21
22,63,4,0,1,8,4,1,8.85,0.2
22,65,4,0,4,1,4,2,8.54,0.19
22,63,5,0,1,5,4,0,8.95,0.2
22,65,5,0,4,6,0,1,8.6,0.19
22,63,6,0,1,5,5,0,9.04,0.2
22,65,6,0,4,3,3,1,8.97,0.2
23,63,1,0,2,2,3,1,8.96,0.2
23,65,1,0,3,7,3,9,9.54,0.21
23,63,2,0,2,8,4,2,9.11,0.2
23,65,2,0,3,1,4,2,9.5,0.21
23,63,3,0,2,8,3,1,9.26,0.21
23,65,3,0,3,1,3,8,9.44,0.21
23,63,4,0,2,3,4,10,9.64,0.22
23,65,4,0,3,8,1,8,9.45,0.21
23,63,5,0,2,6,1,1,8.44,0.19
23,65,5,0,3,3,1,1,9.45,0.21
23,63,6,0,2,3,0,2,8.62,0.19
23,65,6,0,3,3,0,1,8.77,0.2
24,63,1,0,1,7,3,1,9.43,0.21
24,65,1,0,4,2,3,1,8.81,0.2
24,63,2,0,1,1,4,8,8.89,0.2
24,65,2,0,4,8,4,1,8.42,0.19
24,63,3,0,1,1,3,1,9.37,0.21
24,65,3,0,4,8,3,0,9.02,0.2
24,63,4,0,1,8,1,9,9.58,0.21
24,65,4,0,4,3,4,8,8.71,0.2
24,63,5,0,1,3,1,0,9.51,0.21
24,65,5,0,4,6,1,1,9.61,0.22
24,63,6,0,1,3,0,0,8.9,0.2
24,65,6,0,4,3,0,10,9.29,0.21
25,63,1,0,2,2,5,8,9.16,0.21
25,65,1,0,3,7,5,0,8.38,0.19
25,63,2,0,2,8,5,8,8.7,0.2
25,65,2,0,3,1,5,2,8.52,0.19
25,63,3,0,2,6,5,2,9.07,0.2
25,65,3,0,3,3,5,0,9.56,0.21
25,63,4,0,2,3,1,9,9.13,0.21
25,65,4,0,3,5,1,1,8.55,0.19
25,63,5,0,2,6,3,1,8.6,0.19
25,65,5,0,3,3,2,1,8.42,0.19
25,63,6,0,2,6,2,9,9.17,0.21
25,65,6,0,3,3,3,9,8.42,0.19
26,63,1,0,1,7,5,1,8.66,0.19
26,65,1,0,4,2,5,2,9.06,0.2
26,63,2,0,1,1,5,1,9.22,0.21
26,65,2,0,4,8,5,2,8.36,0.19
26,63,3,0,1,3,5,1,8.42,0.19
26,65,3,0,4,6,5,9,9.31,0.21
26,63,4,0,1,5,1,8,9.44,0.21
26,65,4,0,4,3,1,1,9.09,0.2
26,63,5,0,1,3,2,1,9.22,0.21
26,65,5,0,4,6,3,8,8.98,0.2
26,63,6,0,1,3,3,9,8.73,0.2
26,65,6,0,4,6,2,2,9.32,0.21
26,63,7,0,1,4,4,1,8.55,0.19
26,65,7,0,4,5,4,0,9.16,0.21
27,63,1,0,2,7,0,8,8.99,0.2
27,65,1,0,3,2,0,0,8.83,0.2
27,63,2,0,2,7,5,0,9.39,0.21
27,65,2,0,3,2,5,2,8.9,0.2
27,63,3,0,2,5,1,1,8.62,0.19
27,65,3,0,3,4,2,0,9.05,0.2
27,63,4,0,2,4,4,0,8.82,0.2
27,65,4,0,3,6,1,1,8.46,0.19
27,63,5,0,2,5,2,1,9.62,0.22
27,65,5,0,3,4,1,1,9.53,0.21
27,63,6,0,2,5,3,1,8.52,0.19
27,65,6,0,3,4,5,1,8.78,0.2
27,63,7,0,2,5,0,1,8.43,0.19
27,65,7,0,3,4,3,1,9.4,0.21
28,63,1,0,1,2,1,1,9.14,0.21
28,65,1,0,4,7,1,1,8.63,0.19
28,63,2,0,1,4,0,3,8.96,0.2
28,65,2,0,4,5,5,1,9.61,0.22
28,63,3,0,1,4,2,0,9.57,0.21
28,65,3,0,4,5,1,1,8.85,0.2
28,63,4,0,1,6,1,1,8.38,0.19
28,65,4,0,4,4,4,2,8.72,0.2
28,63,5,0,1,4,1,2,8.92,0.2
28,65,5,0,4,5,2,2,9.53,0.21
28,63,6,0,1,4,5,1,9.02,0.2
28,65,6,0,4,5,3,9,9.17,0.21
28,63,7,0,1,4,3,9,9.21,0.21
28,65,7,0,4,5,0,8,8.42,0.19
29,63,1,0,1,2,0,9,9.56,0.21
29,65,1,0,4,7,0,1,8.79,0.2
29,63,2,0,1,2,5,2,8.97,0.2
29,65,2,0,4,7,5,0,9.43,0.21
29,63,3,0,2,5,4,1,8.82,0.2
29,65,3,0,3,4,4,0,8.78,0.2
16,63,4,1,1,2,4,0,8.54,0.19
16,64,4,1,2,7,4,10,8.87,0.2
16,65,4,1,3,2,4,9,8.6,0.19
16,66,4,1,4,7,4,8,8.48,0.19
17,63,2,1,1,2,3,9,8.94,0.2
17,64,2,1,2,7,3,9,9.02,0.2
17,65,2,1,3,2,3,0,8.49,0.19
17,66,2,1,4,7,3,1,8.56,0.19
17,63,3,1,1,6,2,9,8.81,0.2
17,64,3,1,2,4,3,1,8.98,0.2
17,65,3,1,3,6,2,0,8.9,0.2
17,66,3,1,4,4,3,9,8.44,0.19
18,63,2,1,1,2,2,2,8.44,0.19
18,64,2,1,2,7,2,8,9.61,0.22
18,65,2,1,3,2,2,8,9.15,0.21
18,66,2,1,4,7,2,10,9.09,0.2
18,63,3,1,1,6,0,9,9.05,0.2
18,64,3,1,2,4,5,9,8.64,0.19
18,65,3,1,3,6,0,12,8.72,0.2
18,66,3,1,4,4,5,0,9.51,0.21
18,63,4,1,1,6,5,0,9.5,0.21
18,64,4,1,2,4,1,8,9.37,0.21
18,65,4,1,3,6,5,9,9.41,0.21
18,66,4,1,4,4,1,10,8.91,0.2
