nDigis,iEta,iPhi,Depth,Mean TDC time[ns], TDC time RMS[ns], Uncertainty,Adjustment[ns],Adjustment[phase units]
129562,-22,31,1,87.82,4.15,0.012,-6.8,-14
139651,-22,33,1,89.05,4.17,0.011,-8.1,-16
36023,-22,31,2,85.45,2.80,0.015,-4.5,-9
22462,-22,33,2,85.56,2.41,0.016,-4.6,-9
20707,-22,31,3,85.49,2.69,0.019,-4.5,-9
18751,-22,33,3,86.47,2.57,0.019,-5.5,-11
6934,-22,31,4,85.31,2.89,0.035,-4.3,-9
4371,-22,33,4,85.31,2.62,0.040,-4.3,-9
3130,-22,31,5,83.30,3.22,0.058,-2.3,-5
2055,-22,33,5,84.26,3.00,0.066,-3.3,-7
698,-22,31,6,84.38,4.53,0.171,-3.4,-7
511,-22,33,6,86.88,4.95,0.219,-5.9,-12
94698,-21,31,1,87.77,4.38,0.014,-6.8,-14
81130,-21,33,1,88.57,4.46,0.016,-7.6,-15
23515,-21,31,2,85.13,2.88,0.019,-4.1,-8
24095,-21,33,2,85.75,2.73,0.018,-4.8,-10
9547,-21,31,3,85.38,2.81,0.029,-4.4,-9
11370,-21,33,3,84.88,2.73,0.026,-3.9,-8
6738,-21,31,4,85.12,2.90,0.035,-4.1,-8
4886,-21,33,4,85.18,2.83,0.040,-4.2,-8
2396,-21,31,5,83.42,3.19,0.065,-2.4,-5
1653,-21,33,5,85.12,3.47,0.085,-4.1,-8
494,-21,31,6,83.97,4.72,0.212,-3.0,-6
345,-21,33,6,86.94,5.51,0.297,-5.9,-12
47560,-20,31,1,86.30,4.96,0.023,-5.3,-11
36070,-20,32,1,87.23,4.84,0.025,-6.2,-12
41658,-20,33,1,87.84,4.82,0.024,-6.8,-14
46801,-20,34,1,87.95,5.09,0.024,-6.9,-14
14314,-20,31,2,84.44,3.27,0.027,-3.4,-7
13881,-20,32,2,84.39,3.38,0.029,-3.4,-7
12634,-20,33,2,84.87,3.23,0.029,-3.9,-8
7921,-20,34,2,84.08,3.12,0.035,-3.1,-6
7665,-20,31,3,82.85,3.12,0.036,-1.9,-4
4809,-20,32,3,83.03,3.06,0.044,-2.0,-4
7214,-20,33,3,83.01,3.14,0.037,-2.0,-4
5292,-20,34,3,83.73,2.90,0.040,-2.7,-5
3461,-20,31,4,82.97,3.15,0.054,-2.0,-4
3121,-20,32,4,83.65,3.33,0.060,-2.7,-5
1934,-20,33,4,83.58,3.32,0.076,-2.6,-5
2015,-20,34,4,83.32,3.07,0.068,-2.3,-5
1236,-20,31,5,81.26,3.53,0.101,-0.3,-1
1165,-20,32,5,82.10,3.22,0.094,-1.1,-2
796,-20,33,5,81.47,2.97,0.105,-0.5,-1
761,-20,34,5,82.60,2.98,0.108,-1.6,-3
195,-20,31,6,82.32,6.45,0.462,-1.3,-3
286,-20,32,6,82.43,5.54,0.328,-1.4,-3
157,-20,33,6,85.73,7.59,0.606,-4.7,-9
135,-20,34,6,83.50,5.38,0.463,-2.5,-5
41568,-19,31,1,86.78,5.26,0.026,-5.8,-12
39469,-19,32,1,87.06,5.27,0.027,-6.1,-12
30002,-19,33,1,87.83,5.22,0.030,-6.8,-14
35590,-19,34,1,88.15,5.47,0.029,-7.1,-14
8251,-19,31,2,83.73,3.29,0.036,-2.7,-5
7180,-19,32,2,83.78,3.34,0.039,-2.8,-6
9202,-19,33,2,83.44,3.48,0.036,-2.4,-5
8312,-19,34,2,83.77,3.27,0.036,-2.8,-6
6667,-19,31,3,83.13,3.25,0.040,-2.1,-4
5145,-19,32,3,82.23,2.98,0.041,-1.2,-2
5121,-19,33,3,83.17,3.15,0.044,-2.2,-4
4773,-19,34,3,83.09,3.01,0.044,-2.1,-4
2253,-19,31,4,81.56,3.20,0.067,-0.6,-1
2295,-19,32,4,82.00,3.46,0.072,-1.0,-2
1487,-19,33,4,82.63,3.13,0.081,-1.6,-3
1245,-19,34,4,82.77,3.55,0.101,-1.8,-4
881,-19,31,5,80.50,3.50,0.118,0.5,1
629,-19,32,5,80.82,3.17,0.126,0.2,0
745,-19,33,5,81.36,3.13,0.115,-0.4,-1
674,-19,34,5,81.76,3.21,0.124,-0.8,-2
155,-19,31,6,81.83,5.78,0.464,-0.8,-2
221,-19,32,6,83.34,5.98,0.402,-2.3,-5
84,-19,33,6,84.40,6.90,0.753,-3.4,-7
109,-19,34,6,83.72,7.73,0.740,-2.7,-5
12281,-18,32,2,83.48,3.81,0.034,-2.5,-5
12802,-18,33,2,83.61,4.19,0.037,-2.6,-5
12191,-18,34,2,84.95,4.30,0.039,-3.9,-8
7509,-18,31,3,82.51,3.43,0.040,-1.5,-3
7862,-18,32,3,82.32,3.39,0.038,-1.3,-3
7399,-18,33,3,83.37,3.18,0.037,-2.4,-5
5567,-18,34,3,83.04,3.46,0.046,-2.0,-4
1193,-18,31,4,81.41,3.18,0.092,-0.4,-1
1438,-18,32,4,81.99,3.37,0.089,-1.0,-2
1297,-18,33,4,83.44,3.73,0.104,-2.4,-5
947,-18,34,4,82.59,3.29,0.107,-1.6,-3
697,-18,31,5,81.64,3.90,0.148,-0.6,-1
599,-18,32,5,81.55,3.81,0.156,-0.5,-1
514,-18,33,5,82.54,3.66,0.161,-1.5,-3
401,-18,34,5,81.68,3.59,0.179,-0.7,-1
7287,-17,32,2,83.88,4.13,0.048,-2.9,-6
10218,-17,33,2,85.75,4.25,0.042,-4.8,-10
9869,-17,34,2,85.70,4.40,0.044,-4.7,-9
1246,-17,31,3,81.87,3.61,0.102,-0.9,-2
1764,-17,32,3,82.53,4.06,0.097,-1.5,-3
1313,-17,33,3,83.58,3.82,0.105,-2.6,-5
1064,-17,34,3,83.50,4.25,0.130,-2.5,-5
2298,-16,32,4,85.01,5.08,0.106,-4.0,-8
2919,-16,33,4,85.70,5.19,0.096,-4.7,-9
2701,-16,34,4,86.04,5.08,0.098,-5.0,-10
2992,16,31,4,88.28,5.10,0.093,-7.3,-15
3580,16,32,4,88.22,5.20,0.087,-7.2,-14
2832,16,33,4,86.52,5.27,0.099,-5.5,-11
2580,16,34,4,87.17,5.07,0.100,-6.2,-12
14444,17,31,2,88.08,4.65,0.039,-7.1,-14
12502,17,32,2,86.99,4.33,0.039,-6.0,-12
9157,17,33,2,85.18,4.15,0.043,-4.2,-8
8290,17,34,2,86.56,4.10,0.045,-5.6,-11
1109,17,31,3,84.69,4.22,0.127,-3.7,-7
1301,17,32,3,85.80,4.12,0.114,-4.8,-10
2037,17,33,3,85.36,4.06,0.090,-4.4,-9
1597,17,34,3,86.17,4.16,0.104,-5.2,-10
12129,18,31,2,86.84,4.28,0.039,-5.8,-12
13822,18,32,2,86.00,4.22,0.036,-5.0,-10
18744,18,33,2,84.92,4.11,0.030,-3.9,-8
16722,18,34,2,86.06,4.13,0.032,-5.1,-10
6967,18,31,3,85.02,3.61,0.043,-4.0,-8
7275,18,32,3,85.43,3.23,0.038,-4.4,-9
8105,18,33,3,83.69,3.44,0.038,-2.7,-5
7381,18,34,3,84.16,3.34,0.039,-3.2,-6
1438,18,31,4,84.06,3.45,0.091,-3.1,-6
1355,18,32,4,83.78,3.02,0.082,-2.8,-6
1589,18,33,4,83.74,3.27,0.082,-2.7,-5
1361,18,34,4,83.70,3.37,0.091,-2.7,-5
531,18,31,5,84.77,4.24,0.184,-3.8,-8
665,18,32,5,84.01,4.43,0.172,-3.0,-6
588,18,33,5,83.33,3.64,0.150,-2.3,-5
623,18,34,5,82.78,4.15,0.166,-1.8,-4
44654,19,31,1,89.31,5.28,0.025,-8.3,-17
38682,19,32,1,89.42,5.25,0.027,-8.4,-17
42577,19,33,1,88.95,5.20,0.025,-8.0,-16
38829,19,34,1,88.19,5.21,0.026,-7.2,-14
9663,19,31,2,85.67,3.43,0.035,-4.7,-9
6351,19,32,2,84.99,3.10,0.039,-4.0,-8
9920,19,33,2,84.54,3.36,0.034,-3.5,-7
10069,19,34,2,84.92,3.49,0.035,-3.9,-8
5611,19,31,3,85.57,3.01,0.040,-4.6,-9
4985,19,32,3,85.37,3.06,0.043,-4.4,-9
7057,19,33,3,83.93,3.17,0.038,-2.9,-6
5829,19,34,3,84.51,3.14,0.041,-3.5,-7
2250,19,31,4,84.43,3.01,0.063,-3.4,-7
2055,19,32,4,85.40,3.47,0.077,-4.4,-9
2108,19,33,4,84.64,3.27,0.071,-3.6,-7
2239,19,34,4,83.97,3.45,0.073,-3.0,-6
763,19,31,5,82.39,3.34,0.121,-1.4,-3
694,19,32,5,82.91,3.74,0.142,-1.9,-4
831,19,33,5,82.82,3.40,0.118,-1.8,-4
714,19,34,5,82.37,3.21,0.120,-1.4,-3
180,19,31,6,85.30,6.96,0.519,-4.3,-9
114,19,32,6,86.53,6.57,0.615,-5.5,-11
133,19,33,6,82.87,4.89,0.424,-1.9,-4
132,19,34,6,83.09,5.62,0.489,-2.1,-4
55238,20,31,1,89.79,4.94,0.021,-8.8,-18
46749,20,32,1,89.27,4.82,0.022,-8.3,-17
50251,20,33,1,88.59,4.77,0.021,-7.6,-15
45349,20,34,1,87.53,4.89,0.023,-6.5,-13
11833,20,31,2,86.00,3.15,0.029,-5.0,-10
10903,20,32,2,86.85,3.14,0.030,-5.8,-12
10972,20,33,2,85.64,3.26,0.031,-4.6,-9
12058,20,34,2,85.27,3.14,0.029,-4.3,-9
6796,20,31,3,85.78,2.96,0.036,-4.8,-10
6742,20,32,3,84.99,2.92,0.036,-4.0,-8
9780,20,33,3,84.33,2.93,0.030,-3.3,-7
7123,20,34,3,84.23,3.02,0.036,-3.2,-6
2949,20,31,4,85.78,3.20,0.059,-4.8,-10
2668,20,32,4,85.48,3.08,0.060,-4.5,-9
3130,20,33,4,85.06,3.20,0.057,-4.1,-8
2719,20,34,4,84.56,3.07,0.059,-3.6,-7
870,20,31,5,84.25,3.88,0.132,-3.2,-6
1039,20,32,5,83.77,3.48,0.108,-2.8,-6
1333,20,33,5,83.84,3.25,0.089,-2.8,-6
1098,20,34,5,82.92,3.32,0.100,-1.9,-4
191,20,31,6,85.65,7.12,0.515,-4.7,-9
152,20,32,6,86.46,6.40,0.519,-5.5,-11
231,20,33,6,84.60,6.37,0.419,-3.6,-7
177,20,34,6,84.06,6.33,0.476,-3.1,-6
100815,21,31,1,90.57,4.37,0.014,-9.6,-19
114277,21,33,1,89.61,4.32,0.013,-8.6,-17
22877,21,31,2,87.32,2.69,0.018,-6.3,-13
24869,21,33,2,87.05,2.92,0.019,-6.0,-12
12346,21,31,3,87.40,2.63,0.024,-6.4,-13
20306,21,33,3,86.13,2.65,0.019,-5.1,-10
4742,21,31,4,86.96,2.91,0.042,-6.0,-12
7075,21,33,4,86.90,2.98,0.035,-5.9,-12
1745,21,31,5,84.66,3.05,0.073,-3.7,-7
2309,21,33,5,85.49,3.32,0.069,-4.5,-9
380,21,31,6,87.42,4.81,0.247,-6.4,-13
367,21,33,6,85.79,4.56,0.238,-4.8,-10
138458,22,31,1,90.62,4.13,0.011,-9.6,-19
126300,22,33,1,88.89,3.89,0.011,-7.9,-16
46613,22,31,2,88.19,2.74,0.013,-7.2,-14
32940,22,33,2,86.51,2.65,0.015,-5.5,-11
22042,22,31,3,88.35,2.61,0.018,-7.3,-15
21662,22,33,3,87.00,2.57,0.017,-6.0,-12
7326,22,31,4,87.47,2.77,0.032,-6.5,-13
6650,22,33,4,86.37,2.72,0.033,-5.4,-11
2408,22,31,5,86.25,3.07,0.063,-5.2,-10
3092,22,33,5,84.88,3.16,0.057,-3.9,-8
547,22,31,6,87.09,5.09,0.218,-6.1,-12
554,22,33,6,86.32,4.36,0.185,-5.3,-11
185017,23,31,1,91.03,3.64,0.008,-10.0,-20
207070,23,33,1,89.74,3.48,0.008,-8.7,-17
51112,23,31,2,87.65,2.32,0.010,-6.6,-13
51709,23,33,2,87.21,2.41,0.011,-6.2,-12
29392,23,31,3,88.25,2.31,0.013,-7.3,-15
32932,23,33,3,87.25,2.39,0.013,-6.3,-13
11995,23,31,4,88.40,2.66,0.024,-7.4,-15
14817,23,33,4,86.68,2.76,0.023,-5.7,-11
4372,23,31,5,86.03,3.13,0.047,-5.0,-10
5833,23,33,5,85.30,3.16,0.041,-4.3,-9
802,23,31,6,88.12,4.47,0.158,-7.1,-14
1121,23,33,6,86.71,4.15,0.124,-5.7,-11
234876,24,31,1,90.78,3.19,0.007,-9.8,-20
203436,24,33,1,89.41,3.20,0.007,-8.4,-17
84337,24,31,2,89.78,2.17,0.007,-8.8,-18
81778,24,33,2,87.76,2.23,0.008,-6.8,-14
43973,24,31,3,89.20,2.21,0.011,-8.2,-16
43523,24,33,3,87.53,2.16,0.010,-6.5,-13
18382,24,31,4,87.30,2.52,0.019,-6.3,-13
18473,24,33,4,87.72,2.57,0.019,-6.7,-13
7027,24,31,5,87.14,2.95,0.035,-6.1,-12
7016,24,33,5,85.89,2.97,0.035,-4.9,-10
1417,24,31,6,87.77,4.29,0.114,-6.8,-14
1703,24,33,6,86.71,3.85,0.093,-5.7,-11
303719,25,31,1,90.08,2.67,0.005,-9.1,-18
290137,25,33,1,89.95,2.78,0.005,-9.0,-18
107933,25,31,2,88.36,1.93,0.006,-7.4,-15
117688,25,33,2,87.78,2.02,0.006,-6.8,-14
59216,25,31,3,88.32,2.09,0.009,-7.3,-15
83373,25,33,3,87.60,2.13,0.007,-6.6,-13
25926,25,31,4,88.25,2.63,0.016,-7.2,-14
36131,25,33,4,87.40,2.50,0.013,-6.4,-13
10268,25,31,5,87.92,2.94,0.029,-6.9,-14
11196,25,33,5,86.22,3.05,0.029,-5.2,-10
2295,25,31,6,86.03,4.11,0.086,-5.0,-10
3631,25,33,6,87.77,4.04,0.067,-6.8,-14
446572,26,31,1,90.06,2.28,0.003,-9.1,-18
423001,26,33,1,88.68,2.29,0.004,-7.7,-15
107237,26,31,2,89.03,1.66,0.005,-8.0,-16
120669,26,33,2,88.25,1.68,0.005,-7.3,-15
112989,26,31,3,88.82,1.79,0.005,-7.8,-16
84456,26,33,3,87.75,1.73,0.006,-6.8,-14
43452,26,31,4,88.77,2.18,0.010,-7.8,-16
57134,26,33,4,88.18,2.08,0.009,-7.2,-14
48904,26,31,5,88.60,2.39,0.011,-7.6,-15
46764,26,33,5,87.42,2.33,0.011,-6.4,-13
25591,26,31,6,88.18,3.14,0.020,-7.2,-14
22271,26,33,6,86.64,2.95,0.020,-5.6,-11
7137,26,31,7,89.72,4.20,0.050,-8.7,-17
6097,26,33,7,88.44,3.96,0.051,-7.4,-15
331060,27,31,1,89.15,2.13,0.004,-8.1,-16
339776,27,33,1,88.33,2.17,0.004,-7.3,-15
87168,27,31,2,88.19,1.53,0.005,-7.2,-14
90737,27,33,2,87.34,1.51,0.005,-6.3,-13
74990,27,31,3,87.79,1.62,0.006,-6.8,-14
87569,27,33,3,87.12,1.72,0.006,-6.1,-12
47608,27,31,4,88.87,1.95,0.009,-7.9,-16
56556,27,33,4,87.30,1.93,0.008,-6.3,-13
57687,27,31,5,87.87,2.52,0.011,-6.9,-14
68103,27,33,5,86.69,2.49,0.010,-5.7,-11
29069,27,31,6,88.36,3.08,0.018,-7.4,-15
34184,27,33,6,86.92,3.12,0.017,-5.9,-12
10390,27,31,7,90.30,3.96,0.039,-9.3,-19
12271,27,33,7,88.17,4.01,0.036,-7.2,-14
720037,28,31,1,89.30,1.49,0.002,-8.3,-17
312682,28,33,1,88.92,1.78,0.003,-7.9,-16
229296,28,31,2,88.84,1.30,0.003,-7.8,-16
176696,28,33,2,87.56,1.21,0.003,-6.6,-13
191017,28,31,3,88.86,1.60,0.004,-7.9,-16
131160,28,33,3,86.32,1.47,0.004,-5.3,-11
227565,28,31,4,89.68,1.95,0.004,-8.7,-17
218438,28,33,4,88.91,1.86,0.004,-7.9,-16
349004,28,31,5,88.92,2.12,0.004,-7.9,-16
365734,28,33,5,88.20,2.07,0.003,-7.2,-14
456321,28,31,6,88.27,2.44,0.004,-7.3,-15
268559,28,33,6,87.78,2.43,0.005,-6.8,-14
280721,28,31,7,90.37,3.82,0.007,-9.4,-19
175230,28,33,7,89.30,3.24,0.008,-8.3,-17
324320,29,31,1,88.30,1.38,0.002,-7.3,-15
111709,29,33,1,88.25,1.93,0.006,-7.3,-15
64609,29,31,2,88.58,1.49,0.006,-7.6,-15
80814,29,33,2,87.88,1.63,0.006,-6.9,-14
39087,29,31,3,89.62,2.14,0.011,-8.6,-17
53582,29,33,3,87.43,2.14,0.009,-6.4,-13
22177,-29,35,1,87.16,1.90,0.013,-6.2,-12
123310,-29,37,1,87.71,1.57,0.004,-6.7,-13
32542,-29,35,2,87.50,1.69,0.009,-6.5,-13
1005,-29,37,2,94.49,3.68,0.116,-13.5,-27
40642,-29,35,3,88.27,1.94,0.010,-7.3,-15
5078,-29,37,3,92.32,2.50,0.035,-11.3,-23
217625,-28,35,1,88.22,1.68,0.004,-7.2,-14
480055,-28,37,1,88.68,1.55,0.002,-7.7,-15
212500,-28,35,2,87.68,1.38,0.003,-6.7,-13
26886,-28,37,2,93.25,2.97,0.018,-12.3,-25
149164,-28,35,3,87.19,1.58,0.004,-6.2,-12
42505,-28,37,3,92.69,2.60,0.013,-11.7,-23
172477,-28,35,4,88.43,1.83,0.004,-7.4,-15
148704,-28,37,4,89.08,1.94,0.005,-8.1,-16
312634,-28,35,5,88.36,2.21,0.004,-7.4,-15
461202,-28,37,5,88.46,2.19,0.003,-7.5,-15
194462,-28,35,6,88.04,2.54,0.006,-7.0,-14
402962,-28,37,6,88.16,2.63,0.004,-7.2,-14
163737,-28,35,7,87.40,3.04,0.008,-6.4,-13
232269,-28,37,7,90.08,3.76,0.008,-9.1,-18
325335,-27,35,1,88.59,2.35,0.004,-7.6,-15
274592,-27,37,1,88.74,2.19,0.004,-7.7,-15
79387,-27,35,2,86.90,1.50,0.005,-5.9,-12
95012,-27,37,2,87.96,1.53,0.005,-7.0,-14
50871,-27,35,3,87.91,1.61,0.007,-6.9,-14
57940,-27,37,3,87.16,1.62,0.007,-6.2,-12
25386,-27,35,4,86.55,1.72,0.011,-5.6,-11
45131,-27,37,4,88.56,1.98,0.009,-7.6,-15
48599,-27,35,5,87.98,2.49,0.011,-7.0,-14
42045,-27,37,5,87.58,2.32,0.011,-6.6,-13
16595,-27,35,6,87.41,2.92,0.023,-6.4,-13
22831,-27,37,6,87.66,3.19,0.021,-6.7,-13
11429,-27,35,7,89.18,4.03,0.038,-8.2,-16
9850,-27,37,7,89.41,4.04,0.041,-8.4,-17
392864,-26,35,1,88.55,2.39,0.004,-7.6,-15
296396,-26,37,1,89.29,2.37,0.004,-8.3,-17
84446,-26,35,2,87.46,1.64,0.006,-6.5,-13
88398,-26,37,2,88.73,1.75,0.006,-7.7,-15
59524,-26,35,3,87.82,1.87,0.008,-6.8,-14
86417,-26,37,3,88.82,1.96,0.007,-7.8,-16
62573,-26,35,4,87.88,2.07,0.008,-6.9,-14
56965,-26,37,4,87.75,2.08,0.009,-6.7,-13
50080,-26,35,5,86.78,2.29,0.010,-5.8,-12
58272,-26,37,5,88.62,2.51,0.010,-7.6,-15
19744,-26,35,6,86.33,2.97,0.021,-5.3,-11
22456,-26,37,6,87.96,3.12,0.021,-7.0,-14
5727,-26,35,7,87.94,3.98,0.053,-6.9,-14
6293,-26,37,7,88.92,4.18,0.053,-7.9,-16
309419,-25,35,1,90.81,2.80,0.005,-9.8,-20
297973,-25,37,1,89.15,2.73,0.005,-8.2,-16
84368,-25,35,2,87.46,1.88,0.006,-6.5,-13
89533,-25,37,2,87.40,1.87,0.006,-6.4,-13
63966,-25,35,3,88.74,2.14,0.008,-7.7,-15
48511,-25,37,3,87.70,2.08,0.009,-6.7,-13
26460,-25,35,4,86.87,2.49,0.015,-5.9,-12
28236,-25,37,4,87.66,2.54,0.015,-6.7,-13
13175,-25,35,5,87.56,3.07,0.027,-6.6,-13
10997,-25,37,5,87.32,3.19,0.030,-6.3,-13
3382,-25,35,6,88.93,3.98,0.068,-7.9,-16
2402,-25,37,6,88.60,3.98,0.081,-7.6,-15
171746,-24,35,1,88.84,3.23,0.008,-7.8,-16
195124,-24,37,1,90.38,3.34,0.008,-9.4,-19
67390,-24,35,2,87.29,2.15,0.008,-6.3,-13
60374,-24,37,2,88.42,2.06,0.008,-7.4,-15
35712,-24,35,3,87.44,2.23,0.012,-6.4,-13
37681,-24,37,3,88.90,2.16,0.011,-7.9,-16
15424,-24,35,4,87.04,2.67,0.022,-6.0,-12
17713,-24,37,4,87.28,2.54,0.019,-6.3,-13
6368,-24,35,5,85.30,3.02,0.038,-4.3,-9
6277,-24,37,5,86.28,3.09,0.039,-5.3,-11
1410,-24,35,6,86.12,3.78,0.101,-5.1,-10
1802,-24,37,6,87.44,4.22,0.099,-6.4,-13
193354,-23,35,1,91.18,3.59,0.008,-10.2,-20
168019,-23,37,1,89.92,3.60,0.009,-8.9,-18
39746,-23,35,2,86.42,2.25,0.011,-5.4,-11
37277,-23,37,2,87.48,2.33,0.012,-6.5,-13
17884,-23,35,3,86.74,2.29,0.017,-5.7,-11
26841,-23,37,3,87.16,2.32,0.014,-6.2,-12
12056,-23,35,4,87.05,2.64,0.024,-6.1,-12
10689,-23,37,4,87.27,2.74,0.027,-6.3,-13
4559,-23,35,5,86.06,3.07,0.046,-5.1,-10
4440,-23,37,5,85.96,3.24,0.049,-5.0,-10
1199,-23,35,6,87.29,4.08,0.118,-6.3,-13
953,-23,37,6,87.93,3.95,0.128,-6.9,-14
117788,-22,35,1,89.33,4.07,0.012,-8.3,-17
116533,-22,37,1,88.57,3.93,0.012,-7.6,-15
30138,-22,35,2,86.34,2.69,0.015,-5.3,-11
32806,-22,37,2,86.40,2.51,0.014,-5.4,-11
18426,-22,35,3,87.24,2.68,0.020,-6.2,-12
17746,-22,37,3,86.94,2.55,0.019,-5.9,-12
8017,-22,35,4,85.30,2.87,0.032,-4.3,-9
7432,-22,37,4,86.71,2.85,0.033,-5.7,-11
2201,-22,35,5,84.65,3.39,0.072,-3.6,-7
2497,-22,37,5,84.93,3.12,0.062,-3.9,-8
535,-22,35,6,85.40,4.10,0.177,-4.4,-9
501,-22,37,6,85.54,3.79,0.169,-4.5,-9
106550,-21,35,1,90.40,4.42,0.014,-9.4,-19
86427,-21,37,1,89.87,4.39,0.015,-8.9,-18
18949,-21,35,2,87.60,2.83,0.021,-6.6,-13
19294,-21,37,2,87.11,2.80,0.020,-6.1,-12
8954,-21,35,3,85.26,2.64,0.028,-4.3,-9
11683,-21,37,3,86.19,2.74,0.025,-5.2,-10
6623,-21,35,4,87.34,3.06,0.038,-6.3,-13
4612,-21,37,4,87.05,2.96,0.044,-6.0,-12
1874,-21,35,5,85.48,3.13,0.072,-4.5,-9
1649,-21,37,5,84.36,3.32,0.082,-3.4,-7
359,-21,35,6,84.23,4.54,0.240,-3.2,-6
315,-21,37,6,86.29,4.67,0.263,-5.3,-11
33984,-20,35,1,87.42,4.87,0.026,-6.4,-13
49922,-20,36,1,88.68,4.76,0.021,-7.7,-15
39103,-20,37,1,88.89,4.93,0.025,-7.9,-16
47789,-20,38,1,88.79,4.99,0.023,-7.8,-16
11204,-20,35,2,84.92,3.28,0.031,-3.9,-8
11795,-20,36,2,85.91,3.12,0.029,-4.9,-10
11628,-20,37,2,86.19,3.19,0.030,-5.2,-10
9686,-20,38,2,84.96,3.20,0.033,-4.0,-8
7086,-20,35,3,84.44,2.98,0.035,-3.4,-7
4454,-20,36,3,84.05,2.72,0.041,-3.1,-6
6325,-20,37,3,84.62,3.07,0.039,-3.6,-7
6541,-20,38,3,85.10,2.89,0.036,-4.1,-8
2969,-20,35,4,84.00,3.17,0.058,-3.0,-6
2682,-20,36,4,85.10,2.94,0.057,-4.1,-8
2333,-20,37,4,85.10,2.90,0.060,-4.1,-8
2918,-20,38,4,84.48,3.01,0.056,-3.5,-7
974,-20,35,5,82.80,3.42,0.110,-1.8,-4
979,-20,36,5,82.87,3.47,0.111,-1.9,-4
1052,-20,37,5,82.78,3.00,0.093,-1.8,-4
923,-20,38,5,83.44,3.27,0.108,-2.4,-5
192,-20,35,6,83.39,5.70,0.411,-2.4,-5
163,-20,36,6,83.98,5.79,0.454,-3.0,-6
209,-20,37,6,86.08,5.77,0.399,-5.1,-10
197,-20,38,6,84.87,6.48,0.462,-3.9,-8
35930,-19,35,1,87.50,5.28,0.028,-6.5,-13
42853,-19,36,1,89.64,5.14,0.025,-8.6,-17
39327,-19,37,1,89.11,5.33,0.027,-8.1,-16
35061,-19,38,1,88.92,5.46,0.029,-7.9,-16
8322,-19,35,2,84.92,3.39,0.037,-3.9,-8
9006,-19,36,2,84.11,3.45,0.036,-3.1,-6
8882,-19,37,2,84.99,3.34,0.035,-4.0,-8
7135,-19,38,2,85.30,3.33,0.039,-4.3,-9
5145,-19,35,3,83.99,3.22,0.045,-3.0,-6
5049,-19,36,3,84.81,2.97,0.042,-3.8,-8
5248,-19,37,3,84.54,3.27,0.045,-3.5,-7
5818,-19,38,3,85.57,3.18,0.042,-4.6,-9
2214,-19,35,4,84.19,3.40,0.072,-3.2,-6
2559,-19,36,4,85.96,3.47,0.069,-5.0,-10
1781,-19,37,4,84.46,3.32,0.079,-3.5,-7
1916,-19,38,4,84.54,3.18,0.073,-3.5,-7
729,-19,35,5,81.14,3.48,0.129,-0.1,0
707,-19,36,5,82.09,3.38,0.127,-1.1,-2
681,-19,37,5,82.60,3.39,0.130,-1.6,-3
654,-19,38,5,82.39,3.47,0.136,-1.4,-3
143,-19,35,6,83.34,6.90,0.577,-2.3,-5
149,-19,36,6,83.21,4.08,0.334,-2.2,-4
169,-19,37,6,86.50,7.42,0.571,-5.5,-11
136,-19,38,6,85.35,7.48,0.642,-4.3,-9
7937,-18,35,2,85.98,4.14,0.046,-5.0,-10
11361,-18,36,2,85.65,4.36,0.041,-4.6,-9
11505,-18,37,2,86.08,4.60,0.043,-5.1,-10
9601,-18,38,2,85.60,4.33,0.044,-4.6,-9
5676,-18,35,3,84.40,3.33,0.044,-3.4,-7
4818,-18,36,3,84.21,3.49,0.050,-3.2,-6
5476,-18,37,3,84.76,3.49,0.047,-3.8,-8
6015,-18,38,3,84.31,3.42,0.044,-3.3,-7
1048,-18,35,4,82.89,3.26,0.101,-1.9,-4
1224,-18,36,4,83.99,3.64,0.104,-3.0,-6
1145,-18,37,4,83.21,3.47,0.103,-2.2,-4
1308,-18,38,4,84.65,3.90,0.108,-3.6,-7
407,-18,35,5,82.65,3.90,0.193,-1.7,-3
596,-18,36,5,83.50,3.64,0.149,-2.5,-5
416,-18,37,5,82.79,4.21,0.206,-1.8,-4
397,-18,38,5,82.46,4.24,0.213,-1.5,-3
6194,-17,35,2,85.92,4.06,0.052,-4.9,-10
9931,-17,36,2,86.68,4.19,0.042,-5.7,-11
12238,-17,37,2,86.61,4.28,0.039,-5.6,-11
10407,-17,38,2,86.54,4.31,0.042,-5.5,-11
1249,-17,35,3,85.04,4.06,0.115,-4.0,-8
1880,-17,36,3,84.67,4.27,0.098,-3.7,-7
1335,-17,37,3,84.85,4.10,0.112,-3.9,-8
1174,-17,38,3,84.63,4.00,0.117,-3.6,-7
2024,-16,35,4,86.86,4.86,0.108,-5.9,-12
2872,-16,36,4,85.81,5.19,0.097,-4.8,-10
2861,-16,37,4,86.70,4.84,0.091,-5.7,-11
2129,-16,38,4,86.77,4.90,0.106,-5.8,-12
3627,16,35,4,88.46,5.21,0.086,-7.5,-15
4017,16,36,4,87.75,5.14,0.081,-6.7,-13
2313,16,37,4,86.36,5.09,0.106,-5.4,-11
2329,16,38,4,87.04,4.91,0.102,-6.0,-12
15282,17,35,2,88.50,5.05,0.041,-7.5,-15
16069,17,36,2,87.74,4.44,0.035,-6.7,-13
10755,17,37,2,86.18,4.23,0.041,-5.2,-10
8601,17,38,2,87.13,4.30,0.046,-6.1,-12
